text,question,answer
The Great Wall of China is a series of fortifications made of various materials. It was built to protect the northern borders of the Chinese Empire.,What is the purpose of the Great Wall of China?,To protect the northern borders of the Chinese Empire.
Mount Everest is the highest mountain in the world. It is located in the Himalayas on the border between Nepal and the Tibet Autonomous Region of China.,Where is Mount Everest located?,"On the border between Nepal and Tibet, China."
"The Amazon Rainforest is the largest tropical rainforest in the world, known for its biodiversity and the Amazon River.",What is the largest tropical rainforest in the world?,The Amazon Rainforest.
"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It was completed in 1889.",In which city is the Eiffel Tower located?,"Paris, France."
The Pyramids of Giza are ancient pyramid structures located in Egypt. They were built as tombs for the Pharaohs.,What were the Pyramids of Giza built for?,As tombs for the Pharaohs.
"The Great Barrier Reef is the world's largest coral reef system located off the coast of Queensland, Australia.",Where is the Great Barrier Reef located?,"Off the coast of Queensland, Australia."
"The Colosseum is an ancient amphitheater located in Rome, Italy. It was used for gladiatorial contests and public spectacles.",What was the Colosseum used for?,For gladiatorial contests and public spectacles.
"The Taj Mahal is a white marble mausoleum located in Agra, India, built in memory of Mughal Emperor Shah Jahan's wife.",Who was the Taj Mahal built in memory of?,Shah Jahan's wife.
"The Statue of Liberty is a colossal neoclassical sculpture located on Liberty Island in New York Harbor, United States.",Where is the Statue of Liberty located?,"Liberty Island, New York Harbor."
"The Grand Canyon is a steep-sided canyon carved by the Colorado River in Arizona, United States.",Which river carved the Grand Canyon?,The Colorado River.
The Berlin Wall was a barrier that divided Berlin from 1961 to 1989. It was a symbol of the Cold War.,What was the Berlin Wall a symbol of?,The Cold War.
"The Sydney Opera House is a multi-venue performing arts center located in Sydney, Australia. It is known for its unique architectural design.",What is the Sydney Opera House known for?,Its unique architectural design.
"The Leaning Tower of Pisa is a freestanding bell tower of the cathedral in Pisa, Italy, known for its unintended tilt.",What is notable about the Leaning Tower of Pisa?,Its unintended tilt.
"The Louvre is the world's largest art museum and a historic monument in Paris, France. It is famous for housing the Mona Lisa.",Which famous painting is housed in the Louvre?,The Mona Lisa.
"Machu Picchu is an Incan citadel set high in the Andes Mountains in Peru, known for its archaeological significance.",Where is Machu Picchu located?,In the Andes Mountains in Peru.
Niagara Falls is a group of three large waterfalls located on the border between Canada and the United States.,Which countries border Niagara Falls?,Canada and the United States.
"The Sphinx of Giza is a limestone statue of a reclining sphinx, a mythical creature, located in Egypt.",What type of statue is the Sphinx of Giza?,A reclining sphinx.
"The Acropolis of Athens is an ancient citadel on a rocky outcrop above the city of Athens, Greece. It contains several ancient buildings.",What is the Acropolis of Athens known for?,Ancient buildings on a rocky outcrop in Athens.
